,,SUBDUE FILE,SUBGRAPH,NAME,COMENTARIOS
knoesis-linked-sensor-data,http://datahub.io/dataset/knoesis-linked-sensor-data,,,*,
laas,http://datahub.io/dataset/rkb-explorer-laas,,,laas,
LCSH,http://datahub.io/dataset/lcsh,,,lcsh,
lem,http://datahub.io/dataset/lista-encabezamientos-materia,,,lem,
Lexvo,http://datahub.io/dataset/lexvo,,,lexvo,
lichfield,http://datahub.io/dataset/lichfield-spending,,,,no carga el dump
lingvoj,http://datahub.io/dataset/lingvoj,,,lingvoj,
linked-open-data-of-ecology,http://datahub.io/dataset/linked-open-data-of-ecology,,,*,
linkedct,http://datahub.io/dataset/linkedct,,,*,
linkedmdb,http://datahub.io/dataset/linkedmdb,,,linkedmdb,
lobid-resources,http://datahub.io/dataset/lobid-resources,,,*,
lod_ecology,http://datahub.io/dataset/linked-open-data-of-ecology,,,,no hay dump
lov,http://datahub.io/dataset/linked-open-vocabularies-lov,,,lov,
medicare,http://datahub.io/dataset/fu-berlin-medicare,,,medicare,
mgi,http://datahub.io/dataset/bio2rdf-mgi,,,mgi,
morelab,http://datahub.io/dataset/morelab,,,*,
musicbrainz,http://datahub.io/dataset/dbtune-musicbrainz,,,,no tiene dump
NDLSH,http://datahub.io/dataset/national-diet-library-subject-headings,,,ndlsh,
Newcastle,http://datahub.io/dataset/rkb-explorer-newcastle,,,newcastle,
nsf,http://datahub.io/dataset/rkb-explorer-nsf,,,nsf,
nszl,http://datahub.io/dataset/hungarian-national-library-catalog,,,,sin dump
NTNU,http://datahub.io/dataset/ntnusc,,,ntnu,
nvd,http://datahub.io/dataset/nvd,,,nvd,
nyt,http://datahub.io/dataset/nytimes-linked-open-data,,,nyt,
oai,http://datahub.io/dataset/rkb-explorer-oai,,,,no tiene dump
OAI Similarity,http://datahub.io/dataset/core,,,core,??
oceandrilling,http://datahub.io/dataset/oceandrilling-codices,,,,no tiene dump
oecd-linked-data,http://datahub.io/dataset/oecd-linked-data,,,*,
omim,http://datahub.io/dataset/bio2rdf-omim,,,*,
OntosNews,http://datahub.io/dataset/ontos-news-portal,,,*,
open_ac_uk,http://datahub.io/dataset/data-open-ac-uk,,,,no tiene dump
open_energy,http://datahub.io/dataset/open-energy-info-wiki,,,,no tiene dump
open-library,http://datahub.io/dataset/open-library,,,,demasiado grande y encima no tiene enlaces
os,http://datahub.io/dataset/rkb-explorer-os,,,os,
OSM Semantic Network,http://datahub.io/dataset/osm-semantic-network,,,osm,
oxpoints,http://datahub.io/dataset/oxpoints,,,,no tiene dump ni enlaces
pdb,http://datahub.io/dataset/bio2rdf-pdb,,,,lo han cerrado
peel,http://datahub.io/dataset/dbtune-john-peel-sessions,,,peel,
pisa,http://datahub.io/dataset/rkb-explorer-pisa,,,pisa,
pleiades,http://datahub.io/dataset/pleiades,,,pleiades,
police,http://datahub.io/dataset/hellenic-police,,,police,
PSH,http://datahub.io/dataset/psh-subject-headings,,,psh,
pubmed,http://datahub.io/dataset/bio2rdf-pubmed,,,,"en el dump solo estan las estadísticas, no el dataset en si. No tiene enlaces externos"
rae2001,http://datahub.io/dataset/rkb-explorer-rae2001,,,rae2001,
reegle,http://datahub.io/dataset/clean-energy-data-reegle,,,reegle,
resex,http://datahub.io/dataset/rkb-explorer-resex,,,,dump vacio
risk,http://datahub.io/dataset/rkb-explorer-risks,,,risk,
roma,http://datahub.io/dataset/rkb-explorer-roma,,,roma,
SDG,http://datahub.io/dataset/semantic-web-dog-food,,,sdg,
sec,http://datahub.io/dataset/sec-rdfabout,,,sec,
secold,http://datahub.io/dataset/secold,,,,caído
semantic-xbrl,http://datahub.io/dataset/semantic-xbrl,,,*,
semanticweb,http://datahub.io/dataset/semanticweb-org,,,semanticweb,
sgd,http://datahub.io/dataset/bio2rdf-sgd,,,sgd,
sider,http://datahub.io/dataset/fu-berlin-sider,,,sider,
southampton,http://datahub.io/dataset/rkb-explorer-southampton,,,southampton,
stw,http://datahub.io/dataset/stw-thesaurus-for-economics,,,stw,
sztaki,http://datahub.io/dataset/sztaki-lod,,,,no tiene dump
TCM,http://datahub.io/dataset/tcmgenedit_dataset,,,tcm,
telegraphis,http://datahub.io/dataset/telegraphis,,,telegraphis,
thesesfr,http://datahub.io/dataset/thesesfr,,,thesesfr,
thesoz,http://datahub.io/dataset/gesis-thesoz,,,thesoz,sintaxis incorrecta
transport-data-gov-uk,http://datahub.io/dataset/transport-data-gov-uk,,,*,
twc-ieeevis,http://datahub.io/dataset/twc-ieeevis,,,*,
ulm,http://datahub.io/dataset/rkb-explorer-ulm,,,ulm,
uniprot-taxonomy,http://datahub.io/dataset/uniprot-taxonomy,,,*,
uniprot-unipathway,http://datahub.io/dataset/uniprot-unipathway,,,*,
unlocode,http://datahub.io/dataset/rkb-explorer-unlocode,,,unlocode,
vivo-university-of-florida,http://datahub.io/dataset/vivo-university-of-florida,,,,"el dump está caído, solo tiene enlaces a dbpedia y el endpoint es fuseki. NO"
vu-wordnet,http://datahub.io/dataset/vu-wordnet,,,*,
w3c-wordnet,http://datahub.io/dataset/w3c-wordnet,,,w3c-wordnet,
wiki,http://datahub.io/dataset/rkb-explorer-wiki,,,wiki,
wordnet_rkb,http://datahub.io/dataset/rkb-explorer-wordnet,,,wordnet-rkb,
world-bank-linked-data,http://datahub.io/dataset/world-bank-linked-data,,,*,
Yovisto,http://datahub.io/dataset/yovisto,,,yovisto,
